Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,Document Type,Source,EID
"Thornton M.A., Tamir D.I.","55561513800;15046100400;","People represent mental states in terms of rationality, social impact, and valence: Validating the 3d Mind Model",2020,"Cortex","125",,,"44","59",,8,"10.1016/j.cortex.2019.12.012","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077919451&doi=10.1016%2fj.cortex.2019.12.012&partnerID=40&md5=617494b0e3a9578476e1a30c2bf358bb","Department of Psychology and Princeton Neuroscience Institute, Princeton University, Princeton, NJ, United States","Thornton, M.A., Department of Psychology and Princeton Neuroscience Institute, Princeton University, Princeton, NJ, United States; Tamir, D.I., Department of Psychology and Princeton Neuroscience Institute, Princeton University, Princeton, NJ, United States","Emotion; fMRI; Mentalizing; Representational similarity analysis; Social cognition","adult; article; case report; clinical article; female; functional magnetic resonance imaging; human; human experiment; male; mental health; mentalization; social cognition; validation process",Article,Scopus,2-s2.0-85077919451
"Olivito G., Siciliano L., Clausi S., Lupo M., Romano S., Masciullo M., Molinari M., Cercignani M., Bozzali M., Leggio M.","56096833800;57200686116;23970195900;54784997200;12753606700;16316975700;7103134641;6603813790;6701548417;7003285323;","Functional Changes of Mentalizing Network in SCA2 Patients: Novel Insights into Understanding the Social Cerebellum",2020,"Cerebellum","19","2",,"235","242",,7,"10.1007/s12311-019-01081-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077707822&doi=10.1007%2fs12311-019-01081-x&partnerID=40&md5=101665bcb0bba57bc53e124a8a9cc348","Department of Psychology, Sapienza University of Rome, Via De Marsi, 78, Rome, 00185, Italy; IRCCS Santa Lucia Foundation, Rome, Italy; PhD Program in Behavioral Neuroscience, Sapienza University of Rome, Rome, Italy; Ataxia Laboratory, IRCCS Santa Lucia Foundation, Rome, Italy; Department of Neurosciences, Mental Health and Sensory Organs (NESMOS), “Sapienza” University of Rome-Sant’Andrea Hospital, Rome, Italy; SPInal REhabilitation Lab, IRCCS Fondazione Santa Lucia, Rome, Italy; Robotic Neurorehabilitation Lab, Neurorehabilitation 1 and Spinal Center, IRCCS Fondazione Santa Lucia, Rome, Italy; Clinical Imaging Science Center, Brighton and Sussex Medical School, Brighton, United Kingdom; Neuroimaging Laboratory, IRCCS Santa Lucia Foundation, Rome, Italy","Olivito, G., Department of Psychology, Sapienza University of Rome, Via De Marsi, 78, Rome, 00185, Italy, IRCCS Santa Lucia Foundation, Rome, Italy; Siciliano, L., PhD Program in Behavioral Neuroscience, Sapienza University of Rome, Rome, Italy; Clausi, S., Department of Psychology, Sapienza University of Rome, Via De Marsi, 78, Rome, 00185, Italy, Ataxia Laboratory, IRCCS Santa Lucia Foundation, Rome, Italy; Lupo, M., Ataxia Laboratory, IRCCS Santa Lucia Foundation, Rome, Italy; Romano, S., Department of Neurosciences, Mental Health and Sensory Organs (NESMOS), “Sapienza” University of Rome-Sant’Andrea Hospital, Rome, Italy; Masciullo, M., SPInal REhabilitation Lab, IRCCS Fondazione Santa Lucia, Rome, Italy; Molinari, M., Robotic Neurorehabilitation Lab, Neurorehabilitation 1 and Spinal Center, IRCCS Fondazione Santa Lucia, Rome, Italy; Cercignani, M., Clinical Imaging Science Center, Brighton and Sussex Medical School, Brighton, United Kingdom; Bozzali, M., Clinical Imaging Science Center, Brighton and Sussex Medical School, Brighton, United Kingdom, Neuroimaging Laboratory, IRCCS Santa Lucia Foundation, Rome, Italy; Leggio, M., Department of Psychology, Sapienza University of Rome, Via De Marsi, 78, Rome, 00185, Italy, Ataxia Laboratory, IRCCS Santa Lucia Foundation, Rome, Italy","Cerebellum; Cerebral cortex; Nodes; Resting-state fMRI; Social cognition","adult; aged; Article; case control study; cerebellum; cerebellum cortex; cerebellum injury; clinical article; controlled study; dorsomedial prefrontal cortex; female; functional connectivity; functional magnetic resonance imaging; functional neuroimaging; human; male; mentalizing network; middle aged; priority journal; social cognition; social disability; social interaction; spinocerebellar degeneration; temporoparietal junction; cerebellum; nerve cell network; nerve tract; pathophysiology; physiology; spinocerebellar degeneration; Adult; Cerebellum; Female; Humans; Male; Mentalization; Middle Aged; Nerve Net; Neural Pathways; Spinocerebellar Ataxias",Article,Scopus,2-s2.0-85077707822
"Trujillo J.P., Simanova I., Özyürek A., Bekkering H.","56517680800;35219244100;55967715400;55154252600;","Seeing the Unexpected: How Brains Read Communicative Intent through Kinematics",2020,"Cerebral Cortex","30","3",,"1056","1067",,9,"10.1093/cercor/bhz148","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083041468&doi=10.1093%2fcercor%2fbhz148&partnerID=40&md5=aecd795286cba49f71e4c0f771d840e0","Donders Institute for Brain, Cognition and Behaviour, Radboud University, Montessorilaan 3, Nijmegen, 6525GR, Netherlands; Centre for Language Studies, Radboud University Nijmegen, Nijmegen, 6500HD, Netherlands; Max Planck Institute for Psycholinguistics, Nijmegen, 6525XD, Netherlands","Trujillo, J.P., Donders Institute for Brain, Cognition and Behaviour, Radboud University, Montessorilaan 3, Nijmegen, 6525GR, Netherlands, Centre for Language Studies, Radboud University Nijmegen, Nijmegen, 6500HD, Netherlands; Simanova, I., Donders Institute for Brain, Cognition and Behaviour, Radboud University, Montessorilaan 3, Nijmegen, 6525GR, Netherlands; Özyürek, A., Centre for Language Studies, Radboud University Nijmegen, Nijmegen, 6500HD, Netherlands, Max Planck Institute for Psycholinguistics, Nijmegen, 6525XD, Netherlands; Bekkering, H., Donders Institute for Brain, Cognition and Behaviour, Radboud University, Montessorilaan 3, Nijmegen, 6525GR, Netherlands","communication; connectivity; fMRI; gesture; intention","adult; article; clinical article; controlled study; expectation; female; functional magnetic resonance imaging; gesture; human; human experiment; kinematics; male; mentalization; mirror neuron system; probability; signal transduction; videorecording; behavior; biomechanics; brain; brain mapping; nuclear magnetic resonance imaging; pattern recognition; physiology; social behavior; young adult; Adult; Biomechanical Phenomena; Brain; Brain Mapping; Female; Gestures; Humans; Intention; Magnetic Resonance Imaging; Male; Pattern Recognition, Visual; Social Behavior; Young Adult",Article,Scopus,2-s2.0-85083041468
"Moessnang C., Baumeister S., Tillmann J., Goyard D., Charman T., Ambrosino S., Baron-Cohen S., Beckmann C., Bölte S., Bours C., Crawley D., Dell'Acqua F., Durston S., Ecker C., Frouin V., Hayward H., Holt R., Johnson M., Jones E., Lai M.-C., Lombardo M.V., Mason L., Oldenhinkel M., Persico A., Cáceres A.S.J., Spooren W., Loth E., Murphy D.G.M., Buitelaar J.K., Banaschewski T., Brandeis D., Tost H., Meyer-Lindenberg A.","51261347900;57210652265;56671255800;57196026773;7006913774;56150673300;7006016927;35406065300;7003433798;57194587281;57194602937;24757840500;6603086513;57217221069;7004033941;55322832100;55491150900;36072829800;13408335100;57211913020;57211089531;55783092600;57215035057;7004716680;57202754548;7003802450;23766871300;7404062227;57208766003;6603935963;56279281900;7003746529;35272702000;","Social brain activation during mentalizing in a large autism cohort: The Longitudinal European Autism Project",2020,"Molecular Autism","11","1","17","","",,20,"10.1186/s13229-020-0317-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079736956&doi=10.1186%2fs13229-020-0317-x&partnerID=40&md5=0b9f103f6be3f5e22f7ca7fee1fad0b7","Department of Psychiatry and Psychotherapy, Central Institute of Mental Health, University of Heidelberg, Mannheim, Germany; Department of Child and Adolescent Psychiatry and Psychotherapy, Central Institute of Mental Health, University of Heidelberg, Mannheim, Germany; Department of Psychology, Institute of Psychiatry, King's College London, London, United Kingdom; Department of Applied Psychology: Health, Development, Enhancement, and Intervention, University of Vienna, Vienna, Australia; Neurospin Centre CEA, Saclay, Gif sur Yvette, France; Department of Psychiatry, UMC Utrecht Brain Center, Utrecht, Netherlands; Autism Research Centre, Department of Psychiatry, University of Cambridge, Cambridge, United Kingdom; Donders Institute for Brain, Cognition and Behavior, Radboud University, Nijmegen, Netherlands; Department of Cognitive Neuroscience, Radboud University Medical Center, Nijmegen, Netherlands; Center of Neurodevelopmental Disorders (KIND), Centre for Psychiatry Research, Department of Women's and Children's Health, Stockholm, Sweden; Curtin Autism Research Group, School of Occupational Therapy, Curtin University, Perth, WA, Australia; Department of Forensic and Neurodevelopmental Sciences, Institute of Psychiatry, King's College London, London, United Kingdom; Sackler Institute for Translational Neurodevelopment, Institute of Psychiatry, King's College London, London, United Kingdom; Department of Child and Adolescent Psychiatry, Psychosomatics and Psychotherapy, University Hospital Frankfurt Am Main, Frankfurt, Germany; Centre for Brain and Cognitive Development, University of London, London, United Kingdom; Centre for Addiction and Mental Health and the Hospital for Sick Children, Department of Psychiatry, University of Toronto, Toronto, Canada; Department of Psychiatry, National Taiwan University Hospital and College of Medicine, Taipei, Taiwan; Department of Psychology, University of Cyprus, Nicosia, Cyprus; Child and Adolescent Neuropsychiatry Unit, Gaetano Martino University Hospital, University of Messina, Messina, Italy; Mafalda Luce Center for Pervasive Developmental Disorders, University Campus Bio-Medico, Milan, Italy; Roche Pharmaceutical Research and Early Development, NORD Discovery and Translational Area, Roche Innovation Center Basel, Basel, Switzerland; Karakter Child and Adolescent Psychiatry University Centre, Nijmegen, Netherlands; Neuroscience Center Zurich, University of Zurich and ETH Zurich, Zurich, Switzerland; Center for Integrative Human Physiology Zurich, University of Zurich, Zurich, Switzerland","Moessnang, C., Department of Psychiatry and Psychotherapy, Central Institute of Mental Health, University of Heidelberg, Mannheim, Germany; Baumeister, S., Department of Child and Adolescent Psychiatry and Psychotherapy, Central Institute of Mental Health, University of Heidelberg, Mannheim, Germany; Tillmann, J., Department of Psychology, Institute of Psychiatry, King's College London, London, United Kingdom, Department of Applied Psychology: Health, Development, Enhancement, and Intervention, University of Vienna, Vienna, Australia; Goyard, D., Neurospin Centre CEA, Saclay, Gif sur Yvette, France; Charman, T., Department of Psychology, Institute of Psychiatry, King's College London, London, United Kingdom; Ambrosino, S., Department of Psychiatry, UMC Utrecht Brain Center, Utrecht, Netherlands; Baron-Cohen, S., Autism Research Centre, Department of Psychiatry, University of Cambridge, Cambridge, United Kingdom; Beckmann, C., Donders Institute for Brain, Cognition and Behavior, Radboud University, Nijmegen, Netherlands, Department of Cognitive Neuroscience, Radboud University Medical Center, Nijmegen, Netherlands; Bölte, S., Center of Neurodevelopmental Disorders (KIND), Centre for Psychiatry Research, Department of Women's and Children's Health, Stockholm, Sweden, Curtin Autism Research Group, School of Occupational Therapy, Curtin University, Perth, WA, Australia; Bours, C., Donders Institute for Brain, Cognition and Behavior, Radboud University, Nijmegen, Netherlands, Department of Cognitive Neuroscience, Radboud University Medical Center, Nijmegen, Netherlands; Crawley, D., Department of Forensic and Neurodevelopmental Sciences, Institute of Psychiatry, King's College London, London, United Kingdom; Dell'Acqua, F., Department of Forensic and Neurodevelopmental Sciences, Institute of Psychiatry, King's College London, London, United Kingdom, Sackler Institute for Translational Neurodevelopment, Institute of Psychiatry, King's College London, London, United Kingdom; Durston, S., Department of Psychiatry, UMC Utrecht Brain Center, Utrecht, Netherlands; Ecker, C., Department of Child and Adolescent Psychiatry, Psychosomatics and Psychotherapy, University Hospital Frankfurt Am Main, Frankfurt, Germany; Frouin, V., Neurospin Centre CEA, Saclay, Gif sur Yvette, France; Hayward, H., Department of Forensic and Neurodevelopmental Sciences, Institute of Psychiatry, King's College London, London, United Kingdom; Holt, R., Autism Research Centre, Department of Psychiatry, University of Cambridge, Cambridge, United Kingdom; Johnson, M., Centre for Brain and Cognitive Development, University of London, London, United Kingdom; Jones, E., Centre for Brain and Cognitive Development, University of London, London, United Kingdom; Lai, M.-C., Autism Research Centre, Department of Psychiatry, University of Cambridge, Cambridge, United Kingdom, Centre for Addiction and Mental Health and the Hospital for Sick Children, Department of Psychiatry, University of Toronto, Toronto, Canada, Department of Psychiatry, National Taiwan University Hospital and College of Medicine, Taipei, Taiwan; Lombardo, M.V., Autism Research Centre, Department of Psychiatry, University of Cambridge, Cambridge, United Kingdom, Department of Psychology, University of Cyprus, Nicosia, Cyprus; Mason, L., Centre for Brain and Cognitive Development, University of London, London, United Kingdom; Oldenhinkel, M., Donders Institute for Brain, Cognition and Behavior, Radboud University, Nijmegen, Netherlands, Department of Cognitive Neuroscience, Radboud University Medical Center, Nijmegen, Netherlands; Persico, A., Child and Adolescent Neuropsychiatry Unit, Gaetano Martino University Hospital, University of Messina, Messina, Italy, Mafalda Luce Center for Pervasive Developmental Disorders, University Campus Bio-Medico, Milan, Italy; Cáceres, A.S.J., Department of Forensic and Neurodevelopmental Sciences, Institute of Psychiatry, King's College London, London, United Kingdom; Spooren, W., Roche Pharmaceutical Research and Early Development, NORD Discovery and Translational Area, Roche Innovation Center Basel, Basel, Switzerland; Loth, E., Department of Forensic and Neurodevelopmental Sciences, Institute of Psychiatry, King's College London, London, United Kingdom, Sackler Institute for Translational Neurodevelopment, Institute of Psychiatry, King's College London, London, United Kingdom; Murphy, D.G.M., Department of Forensic and Neurodevelopmental Sciences, Institute of Psychiatry, King's College London, London, United Kingdom, Sackler Institute for Translational Neurodevelopment, Institute of Psychiatry, King's College London, London, United Kingdom; Buitelaar, J.K., Donders Institute for Brain, Cognition and Behavior, Radboud University, Nijmegen, Netherlands, Department of Cognitive Neuroscience, Radboud University Medical Center, Nijmegen, Netherlands, Karakter Child and Adolescent Psychiatry University Centre, Nijmegen, Netherlands; Banaschewski, T., Department of Child and Adolescent Psychiatry and Psychotherapy, Central Institute of Mental Health, University of Heidelberg, Mannheim, Germany; Brandeis, D., Department of Child and Adolescent Psychiatry and Psychotherapy, Central Institute of Mental Health, University of Heidelberg, Mannheim, Germany, Neuroscience Center Zurich, University of Zurich and ETH Zurich, Zurich, Switzerland, Center for Integrative Human Physiology Zurich, University of Zurich, Zurich, Switzerland; Tost, H., Department of Psychiatry and Psychotherapy, Central Institute of Mental Health, University of Heidelberg, Mannheim, Germany; Meyer-Lindenberg, A., Department of Psychiatry and Psychotherapy, Central Institute of Mental Health, University of Heidelberg, Mannheim, Germany","Animated shapes; Autism; Autism spectrum disorder; Development; fMRI; Mentalizing; Multi-site; Social brain; Theory of mind","adolescent; adult; age; Article; autism; autism assessment; brain function; brain region; child; cohort analysis; controlled study; diagnostic procedure; disease association; disease course; dorsomedial prefrontal cortex; female; functional connectivity; functional magnetic resonance imaging; human; longitudinal study; major clinical study; male; mentalization; nerve cell network; nerve potential; phenotype; priority journal; social behavior; symptom assessment; task performance; autism; brain; clinical trial; diagnostic imaging; Europe; multicenter study; nuclear magnetic resonance imaging; pathophysiology; physiology; psychology; young adult; Adolescent; Adult; Autistic Disorder; Brain; Child; Europe; Female; Humans; Longitudinal Studies; Magnetic Resonance Imaging; Male; Mentalization; Young Adult",Article,Scopus,2-s2.0-85079736956
"Cracco E., Hudson A.R., Van Hamme C., Maeyens L., Brass M., Mueller S.C.","56862297600;57210362293;57210358109;57210356433;56231632100;12784057000;","Early interpersonal trauma reduces temporoparietal junction activity during spontaneous mentalising",2020,"Social Cognitive and Affective Neuroscience","15","1",,"12","22",,5,"10.1093/scan/nsaa015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084167008&doi=10.1093%2fscan%2fnsaa015&partnerID=40&md5=90956c387bf0d935c4349bbc11245221","Department of Experimental Psychology, Ghent University, Ghent, 9000, Belgium; Department of Experimental Clinical and Health Psychology, Ghent University, Henri Dunantlaan 2, Ghent, 9000, Belgium; Department of Personality, Psychological Assessment and Treatment, University of Deusto, Bilbao, 48007, Spain","Cracco, E., Department of Experimental Psychology, Ghent University, Ghent, 9000, Belgium; Hudson, A.R., Department of Experimental Clinical and Health Psychology, Ghent University, Henri Dunantlaan 2, Ghent, 9000, Belgium; Van Hamme, C., Department of Experimental Clinical and Health Psychology, Ghent University, Henri Dunantlaan 2, Ghent, 9000, Belgium; Maeyens, L., Department of Experimental Clinical and Health Psychology, Ghent University, Henri Dunantlaan 2, Ghent, 9000, Belgium; Brass, M., Department of Experimental Psychology, Ghent University, Ghent, 9000, Belgium; Mueller, S.C., Department of Experimental Clinical and Health Psychology, Ghent University, Henri Dunantlaan 2, Ghent, 9000, Belgium, Department of Personality, Psychological Assessment and Treatment, University of Deusto, Bilbao, 48007, Spain","childhood abuse; mentalising; temporoparietal junction (TPJ); theory of mind (ToM); trauma","adult; brain; brain mapping; child; female; human; injury; male; movie; nuclear magnetic resonance imaging; parietal lobe; pathophysiology; physiology; prefrontal cortex; temporal lobe; theory of mind; young adult; Adult; Brain; Brain Mapping; Child; Female; Humans; Magnetic Resonance Imaging; Male; Mentalization; Motion Pictures; Parietal Lobe; Prefrontal Cortex; Temporal Lobe; Theory of Mind; Wounds and Injuries; Young Adult",Article,Scopus,2-s2.0-85084167008
"Seghatol-Eslami V.C., Maximo J.O., Ammons C.J., Libero L.E., Kana R.K.","57192432373;55901622000;56800397500;53064148700;14822234200;","Hyperconnectivity of social brain networks in autism during action-intention judgment",2020,"Neuropsychologia","137",,"107303","","",,4,"10.1016/j.neuropsychologia.2019.107303","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076581142&doi=10.1016%2fj.neuropsychologia.2019.107303&partnerID=40&md5=e7f54e254facea87a29c6825d6fbdbbd","Department of Psychology, University of Alabama at Birmingham (UAB), CIRC 235G, 1719 6th Ave South, Birmingham, AL  35294-0021, United States; Department of Psychology, University of Alabama, Box 870348, Tuscaloosa, AL  35294-0021, United States","Seghatol-Eslami, V.C., Department of Psychology, University of Alabama at Birmingham (UAB), CIRC 235G, 1719 6th Ave South, Birmingham, AL  35294-0021, United States; Maximo, J.O., Department of Psychology, University of Alabama at Birmingham (UAB), CIRC 235G, 1719 6th Ave South, Birmingham, AL  35294-0021, United States; Ammons, C.J., Department of Psychology, University of Alabama at Birmingham (UAB), CIRC 235G, 1719 6th Ave South, Birmingham, AL  35294-0021, United States; Libero, L.E., Department of Psychology, University of Alabama at Birmingham (UAB), CIRC 235G, 1719 6th Ave South, Birmingham, AL  35294-0021, United States; Kana, R.K., Department of Psychology, University of Alabama at Birmingham (UAB), CIRC 235G, 1719 6th Ave South, Birmingham, AL  35294-0021, United States, Department of Psychology, University of Alabama, Box 870348, Tuscaloosa, AL  35294-0021, United States","Action understanding; ASD; Face processing; fMRI; Functional connectivity; Intention; Mentalizing; Mirroring","adult; Article; autism; clinical article; controlled study; decision making; face processing network; female; functional connectivity; functional magnetic resonance imaging; human; male; mentalizing network; mirror neuron system; nerve cell network; neuroimaging; social brain network; task performance; adolescent; autism; brain; connectome; diagnostic imaging; facial recognition; imitation; nerve cell network; nuclear magnetic resonance imaging; pathophysiology; perception; physiology; young adult; Adolescent; Adult; Autism Spectrum Disorder; Brain; Connectome; Facial Recognition; Female; Humans; Imitative Behavior; Magnetic Resonance Imaging; Male; Mentalization; Nerve Net; Social Perception; Young Adult",Article,Scopus,2-s2.0-85076581142
"Ludwig N.N., Hecht E.E., King T.Z., Revill K.P., Moore M., Fink S.E., Robins D.L.","57189937033;23481779600;7403270167;25522518800;56391148900;57212341579;7102109728;","A novel social attribution paradigm: The Dynamic Interacting Shape Clips (DISC)",2020,"Brain and Cognition","138",,"105507","","",,6,"10.1016/j.bandc.2019.105507","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076457879&doi=10.1016%2fj.bandc.2019.105507&partnerID=40&md5=989f9ace91c4eb5cc9ca341b128f34e9","Georgia State University, Department of Psychology and the Neuroscience Institute, P.O. Box 5010, Atlanta, GA  30302, United States; Georgia State University/Georgia Institute of Technology Joint Center for Advanced Brain Imaging, 831 Marietta St. NW, Atlanta, GA  30318, United States","Ludwig, N.N., Georgia State University, Department of Psychology and the Neuroscience Institute, P.O. Box 5010, Atlanta, GA  30302, United States; Hecht, E.E., Georgia State University, Department of Psychology and the Neuroscience Institute, P.O. Box 5010, Atlanta, GA  30302, United States; King, T.Z., Georgia State University, Department of Psychology and the Neuroscience Institute, P.O. Box 5010, Atlanta, GA  30302, United States; Revill, K.P., Georgia State University/Georgia Institute of Technology Joint Center for Advanced Brain Imaging, 831 Marietta St. NW, Atlanta, GA  30318, United States; Moore, M., Georgia State University, Department of Psychology and the Neuroscience Institute, P.O. Box 5010, Atlanta, GA  30302, United States; Fink, S.E., Georgia State University, Department of Psychology and the Neuroscience Institute, P.O. Box 5010, Atlanta, GA  30302, United States; Robins, D.L., Georgia State University, Department of Psychology and the Neuroscience Institute, P.O. Box 5010, Atlanta, GA  30302, United States","fMRI; Mentalizing; Social attribution; Social cognition; Theory of mind; Video stimuli","adult; aggression; article; attention; brain; controlled study; female; functional magnetic resonance imaging; human; human experiment; human tissue; male; mental health; mentalization; neuroimaging; social cognition; social interaction; theory of mind; videorecording; adolescent; brain mapping; nuclear magnetic resonance imaging; perception; physiology; theory of mind; young adult; Adolescent; Adult; Brain Mapping; Female; Humans; Magnetic Resonance Imaging; Male; Mentalization; Social Perception; Theory of Mind; Young Adult",Article,Scopus,2-s2.0-85076457879
"Van Overwalle F., Van de Steen F., van Dun K., Heleven E.","6701738504;57056281400;56414769500;56674653400;","Connectivity between the cerebrum and cerebellum during social and non-social sequencing using dynamic causal modelling",2020,"NeuroImage","206",,"116326","","",,24,"10.1016/j.neuroimage.2019.116326","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85075416709&doi=10.1016%2fj.neuroimage.2019.116326&partnerID=40&md5=29c89cdd16dd0c48cb5935c4f6b89a00","Faculty of Psychology and Educational Sciences, Vrije Universiteit Brussel, Pleinlaan 2, Brussels, 1050, Belgium; Department of Data Analysis, University of Ghent, Dunantlaan 2, Ghent, 9000, Belgium; Faculty of Psychology and Educational Sciences, Vrije Universiteit Brussel, Hasselt University, Martelarenlaan 42, Hasselt3500, Belgium","Van Overwalle, F., Faculty of Psychology and Educational Sciences, Vrije Universiteit Brussel, Pleinlaan 2, Brussels, 1050, Belgium; Van de Steen, F., Department of Data Analysis, University of Ghent, Dunantlaan 2, Ghent, 9000, Belgium; van Dun, K., Faculty of Psychology and Educational Sciences, Vrije Universiteit Brussel, Hasselt University, Martelarenlaan 42, Hasselt3500, Belgium; Heleven, E., Faculty of Psychology and Educational Sciences, Vrije Universiteit Brussel, Pleinlaan 2, Brussels, 1050, Belgium","Cerebellum; Dynamic causal modelling; Effective connectivity; Social mentalizing","adult; article; causal modeling; cerebellum; dorsomedial prefrontal cortex; female; functional magnetic resonance imaging; human; human experiment; male; mentalization; motion; precuneus; temporoparietal junction; Bayes theorem; brain cortex; cerebellum; diagnostic imaging; functional neuroimaging; nerve tract; nuclear magnetic resonance imaging; parietal lobe; perception; physiology; prefrontal cortex; temporal lobe; Bayes Theorem; Cerebellum; Cerebral Cortex; Female; Functional Neuroimaging; Humans; Magnetic Resonance Imaging; Male; Mentalization; Neural Pathways; Parietal Lobe; Prefrontal Cortex; Social Perception; Temporal Lobe",Article,Scopus,2-s2.0-85075416709
"Qu C., Hu Y., Tang Z., Derrington E., Dreher J.-C.","7102247311;56310880000;57216802174;57196357459;7003559549;","Neurocomputational mechanisms underlying immoral decisions benefiting self or others",2020,"Social Cognitive and Affective Neuroscience","15","2",,"135","149",,6,"10.1093/scan/nsaa029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084721590&doi=10.1093%2fscan%2fnsaa029&partnerID=40&md5=fdad5a2b20032f5053f8cd68fb2424d9","School of Psychology, Center for Studies of Psychological Application, South China Normal University, Guangzhou, 510631, China; Neuroeconomics Laboratory, Institut des Sciences Cognitives Marc Jeannerod, CNRS, Bron, 69675, France; School of Psychological and Cognitive Sciences, Peking University, Beijing, 100871, China; Université Claude Bernard Lyon 1, Lyon, 69100, France","Qu, C., School of Psychology, Center for Studies of Psychological Application, South China Normal University, Guangzhou, 510631, China; Hu, Y., Neuroeconomics Laboratory, Institut des Sciences Cognitives Marc Jeannerod, CNRS, Bron, 69675, France, School of Psychological and Cognitive Sciences, Peking University, Beijing, 100871, China; Tang, Z., Neuroeconomics Laboratory, Institut des Sciences Cognitives Marc Jeannerod, CNRS, Bron, 69675, France, Université Claude Bernard Lyon 1, Lyon, 69100, France; Derrington, E., Neuroeconomics Laboratory, Institut des Sciences Cognitives Marc Jeannerod, CNRS, Bron, 69675, France, Université Claude Bernard Lyon 1, Lyon, 69100, France; Dreher, J.-C., Neuroeconomics Laboratory, Institut des Sciences Cognitives Marc Jeannerod, CNRS, Bron, 69675, France, Université Claude Bernard Lyon 1, Lyon, 69100, France","Beneficiary; Immoral choice; Model-based fMRI; Moral flexibility","adult; article; controlled study; dorsolateral prefrontal cortex; functional magnetic resonance imaging; human; mentalization; morality; profit; social welfare; ventromedial prefrontal cortex; female; individuality; male; nuclear magnetic resonance imaging; physiology; prefrontal cortex; problem solving; Adult; Female; Humans; Individuality; Magnetic Resonance Imaging; Male; Morals; Prefrontal Cortex; Problem Solving",Article,Scopus,2-s2.0-85084721590
"Chen X., Nishitani S., Haroon E., Smith A.K., Rilling J.K.","55655644600;7003438382;8750854000;37102606600;7003790471;","OXTR methylation modulates exogenous oxytocin effects on human brain activity during social interaction",2020,"Genes, Brain and Behavior","19","1","e12555","","",,14,"10.1111/gbb.12555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061457289&doi=10.1111%2fgbb.12555&partnerID=40&md5=534d4be29dfe603f3dc66b0b2c3361ea","Center for Advanced Neuroimaging, University of California, Riverside, Riverside, CA, United States; Department of Anthropology, Emory University, Atlanta, GA, United States; Department of Psychiatry and Behavioral Sciences, Emory University School of Medicine, Atlanta, GA, United States; Department of Gynecology and Obstetrics, Emory University School of Medicine, Atlanta, GA, United States; Center for Behavioral Neuroscience, Emory University, Atlanta, GA, United States; Center for Translational Social Neuroscience, Emory University, Atlanta, GA, United States","Chen, X., Center for Advanced Neuroimaging, University of California, Riverside, Riverside, CA, United States, Department of Anthropology, Emory University, Atlanta, GA, United States, Department of Psychiatry and Behavioral Sciences, Emory University School of Medicine, Atlanta, GA, United States; Nishitani, S., Department of Psychiatry and Behavioral Sciences, Emory University School of Medicine, Atlanta, GA, United States, Department of Gynecology and Obstetrics, Emory University School of Medicine, Atlanta, GA, United States; Haroon, E., Department of Psychiatry and Behavioral Sciences, Emory University School of Medicine, Atlanta, GA, United States; Smith, A.K., Department of Psychiatry and Behavioral Sciences, Emory University School of Medicine, Atlanta, GA, United States, Department of Gynecology and Obstetrics, Emory University School of Medicine, Atlanta, GA, United States; Rilling, J.K., Department of Anthropology, Emory University, Atlanta, GA, United States, Department of Psychiatry and Behavioral Sciences, Emory University School of Medicine, Atlanta, GA, United States, Center for Behavioral Neuroscience, Emory University, Atlanta, GA, United States, Center for Translational Social Neuroscience, Emory University, Atlanta, GA, United States","cooperation; epigenetics; fMRI; intranasal; methylation; oxytocin; oxytocin receptor; precuneus; septum; social","oxytocin; oxytocin receptor; placebo; vasopressin; OXTR protein, human; oxytocin; oxytocin receptor; adult; amygdala; anterior insula; Article; attention; BOLD signal; brain function; caudate nucleus; controlled study; cooperation; DNA methylation; electroencephalogram; female; functional magnetic resonance imaging; genotype; human; human experiment; lateral septal nucleus; male; mentalization; nerve potential; normal human; OXTR gene; precuneus; priority journal; prisoner dilemma; receptor gene; reward; social interaction; visual cortex; young adult; brain; drug effect; genetics; metabolism; physiology; single nucleotide polymorphism; Brain; DNA Methylation; Female; Humans; Male; Oxytocin; Polymorphism, Single Nucleotide; Receptors, Oxytocin; Social Interaction; Young Adult",Article,Scopus,2-s2.0-85061457289
