"","X","subject","educ86","twoyr","female","black","hispanic","bytest","dadmiss","dadvoc","dadsome","dadcoll","mommiss","momvoc","momsome","momcoll","fincome","fincmiss","ownhome","perwhite","urban","cue80","stypc80","stwmfg80","tuition2","tuition4","dist2yr","dist4yr","region_midwest","region_south","region_west","nearer2yr","dad.educ","mom.educ","region","race.ethnicity","outcome","treatment"
"366",366,1511,13,1,0,0,0,63.01,0,0,0,0,0,1,0,0,14000,0,1,33,0,5.6,12625,689.38,1127.02,1127.02,4,4,0,0,0,FALSE,"High School","Voc","East","White/Other",13,1
"367",367,1513,12,1,0,0,0,67.55,0,0,0,0,0,0,0,0,18000,0,1,98,0,8.9,11427,616.63,1166.28,1166.28,2,2,1,0,0,FALSE,"High School","High School","Midwest","White/Other",12,1
"368",368,1515,12,1,1,0,0,60.76,0,0,0,0,0,0,0,0,18000,0,1,100,1,5.2,8977,7.33,135.1,655.89,25,5,0,1,0,FALSE,"High School","High School","South","White/Other",12,1
"369",369,1516,14,1,1,0,0,58.6,0,0,0,0,0,0,0,0,18000,0,1,100,1,5.2,8977,7.33,135.1,655.89,25,5,0,1,0,FALSE,"High School","High School","South","White/Other",14,1
"370",370,1520,15,1,1,0,0,62.75,0,0,0,1,0,0,0,1,0,1,0,94,0,4.4,11599,8.09,600.46,889.15,6,12,0,0,0,TRUE,"College Grad","College Grad","East","White/Other",15,1
"371",371,1521,17,1,0,0,0,59.42,0,0,0,1,0,0,0,1,31500,0,1,94,0,4.4,11599,8.09,600.46,889.15,6,12,0,0,0,TRUE,"College Grad","College Grad","East","White/Other",17,1
"372",372,1524,12,1,0,0,0,58.79,0,0,0,0,0,0,0,0,9500,0,1,95,0,12.6,10911,756.35,1248.27,1248.27,22,22,1,0,0,FALSE,"High School","High School","Midwest","White/Other",12,1
"373",373,1526,12,1,0,0,0,58.19,0,1,0,0,0,1,0,0,22500,0,1,95,0,12.6,10911,756.35,1248.27,1248.27,22,22,1,0,0,FALSE,"Voc","Voc","Midwest","White/Other",12,1
"374",374,1529,14,1,1,0,0,55.21,1,0,0,0,1,0,0,0,31500,0,1,97,0,7.7,10911,756.35,1248.27,1248.27,5,5,1,0,0,FALSE,"Missing","Missing","Midwest","White/Other",14,1
"375",375,1531,16,1,0,0,0,58.81,0,0,0,0,0,1,0,0,22500,0,1,80,1,8,11852,9.64,1010.39,1152.42,4,7,0,0,0,TRUE,"High School","Voc","East","White/Other",16,1
"376",376,1532,13,1,0,0,0,55.24,0,0,0,0,0,0,0,0,18000,0,1,87,0,5.6,11852,9.64,1010.39,1152.42,5,5,0,0,0,FALSE,"High School","High School","East","White/Other",13,1
"377",377,1536,14,1,1,0,0,55.01,0,0,0,0,0,0,0,1,62000,0,1,92,1,14,11427,616.63,1166.28,1166.28,8,8,1,0,0,FALSE,"High School","College Grad","Midwest","White/Other",14,1
"378",378,1541,14,1,1,0,0,58.06,0,0,0,1,0,0,1,0,22500,0,1,69,0,8.2,12572,8.89,0,257.51,3,4,0,0,1,TRUE,"College Grad","Some College","West","White/Other",14,1
"379",379,1542,14,1,1,0,0,66.2,0,0,0,1,0,0,1,0,9500,0,1,69,0,8.2,12572,8.89,0,257.51,3,4,0,0,1,TRUE,"College Grad","Some College","West","White/Other",14,1
"380",380,1543,14,1,1,0,0,57.17,0,0,0,1,0,0,0,1,22500,0,1,69,0,8.2,12572,8.89,0,257.51,3,4,0,0,1,TRUE,"College Grad","College Grad","West","White/Other",14,1
"381",381,1544,16,1,1,0,0,57.64,0,0,0,0,0,1,0,0,62000,0,0,69,0,8.2,12572,8.89,0,257.51,3,4,0,0,1,TRUE,"High School","Voc","West","White/Other",16,1
"382",382,1547,14,1,1,0,0,57.3,0,0,1,0,0,0,0,0,22500,0,1,69,0,8.2,12572,8.89,0,257.51,3,4,0,0,1,TRUE,"Some College","High School","West","White/Other",14,1
"383",383,1552,16,1,1,0,0,61.18,0,0,0,0,0,0,0,0,18000,0,1,97,0,8,12059,510.39,931.87,931.87,4,4,1,0,0,FALSE,"High School","High School","Midwest","White/Other",16,1
"384",384,1553,14,1,1,0,0,55.79,0,1,0,0,0,0,0,0,22500,0,1,97,0,8,12059,510.39,931.87,931.87,4,4,1,0,0,FALSE,"Voc","High School","Midwest","White/Other",14,1
"385",385,1554,14,1,0,0,0,57,0,0,0,0,0,0,0,0,18000,0,1,95,0,6.4,10041,9.76,384.53,484.99,1,3,1,0,0,TRUE,"High School","High School","Midwest","White/Other",14,1
"386",386,1556,16,1,1,0,0,57.65,0,0,1,0,1,0,0,0,62000,0,1,95,0,6.4,10041,9.76,384.53,484.99,1,3,1,0,0,TRUE,"Some College","Missing","Midwest","White/Other",16,1
"387",387,1557,17,1,1,0,0,56.93,0,0,0,1,0,0,0,1,31500,0,1,95,0,6.4,10041,9.76,384.53,484.99,1,3,1,0,0,TRUE,"College Grad","College Grad","Midwest","White/Other",17,1
"388",388,1560,12,1,0,0,1,55.07,1,0,0,0,1,0,0,0,9500,0,0,65,0,7.7,12572,8.89,0,257.51,2,4,0,0,1,TRUE,"Missing","Missing","West","Hispanic",12,1
"389",389,1561,14,1,0,0,1,62.17,1,0,0,0,1,0,0,0,14000,0,1,65,0,7.7,12572,8.89,0,257.51,2,4,0,0,1,TRUE,"Missing","Missing","West","Hispanic",14,1
"390",390,1563,12,1,0,0,0,59.34,0,0,0,1,0,0,0,1,0,1,1,65,0,7.7,12572,8.89,0,257.51,2,4,0,0,1,TRUE,"College Grad","College Grad","West","White/Other",12,1
"391",391,1564,15,1,1,0,0,55.67,0,0,1,0,0,0,1,0,0,1,1,96,0,5.4,13301,8.85,408.78,849.88,2,10,0,0,0,TRUE,"Some College","Some College","East","White/Other",15,1
"392",392,1565,13,1,0,0,0,57.73,0,1,0,0,0,1,0,0,0,1,1,96,0,5.4,13301,8.85,408.78,849.88,2,10,0,0,0,TRUE,"Voc","Voc","East","White/Other",13,1
"393",393,1566,12,1,1,0,0,55.22,1,0,0,0,0,0,0,0,0,1,1,100,0,4.6,11599,8.09,600.46,889.15,0,8,0,0,0,TRUE,"Missing","High School","East","White/Other",12,1
"394",394,1570,12,1,1,0,0,59.05,0,0,1,0,0,0,0,0,14000,0,1,71,1,7.7,10840,9.96,836.03,1404.16,3,0,0,0,0,FALSE,"Some College","High School","East","White/Other",12,1
"395",395,1571,12,1,0,0,0,59.6,0,0,1,0,0,0,0,0,31500,0,1,98,0,6.7,12625,689.38,1127.02,1127.02,5,5,0,0,0,FALSE,"Some College","High School","East","White/Other",12,1
"396",396,1576,13,1,0,0,1,55.25,0,0,0,1,0,0,0,1,62000,0,1,72,0,11.8,10250,935.33,1125.87,1125.87,4,4,1,0,0,FALSE,"College Grad","College Grad","Midwest","Hispanic",13,1
"397",397,1578,13,1,1,0,0,63.09,0,0,0,0,0,0,0,0,18000,0,1,88,0,7.1,12572,8.89,0,257.51,2,7,0,0,1,TRUE,"High School","High School","West","White/Other",13,1
"398",398,1579,16,1,1,0,0,56.38,0,0,1,0,0,0,0,0,22500,0,1,88,0,7.1,12572,8.89,0,257.51,2,7,0,0,1,TRUE,"Some College","High School","West","White/Other",16,1
"399",399,1585,16,1,1,0,0,63.65,0,0,0,0,0,1,0,0,0,1,1,98,0,10.9,12059,510.39,931.87,931.87,20,20,1,0,0,FALSE,"High School","Voc","Midwest","White/Other",16,1
"400",400,1594,12,1,1,0,0,56.4,0,0,0,0,0,0,0,0,22500,0,1,94,0,8.7,12059,510.39,931.87,931.87,6,6,1,0,0,FALSE,"High School","High School","Midwest","White/Other",12,1
"401",401,1601,17,1,0,0,0,58.71,0,0,1,0,0,0,0,0,22500,0,1,69,0,13.8,11427,616.63,1166.28,1166.28,2,2,1,0,0,FALSE,"Some College","High School","Midwest","White/Other",17,1
"402",402,1610,13,1,1,0,1,55.06,1,0,0,0,0,0,0,0,3500,0,1,0,0,6.6,12572,8.89,0,257.51,5,3,0,0,1,FALSE,"Missing","High School","West","Hispanic",13,1
"403",403,1624,16,1,1,0,0,60.3,0,0,0,0,0,0,0,1,31500,0,1,60,0,8,12059,510.39,931.87,931.87,10,10,1,0,0,FALSE,"High School","College Grad","Midwest","White/Other",16,1
"404",404,1633,12,1,0,1,0,66.52,0,0,1,0,0,0,1,0,14000,0,1,45,0,6.8,12572,8.89,0,257.51,12,15,0,0,1,TRUE,"Some College","Some College","West","Black",12,1
"405",405,1634,16,1,1,0,0,69.32,0,0,0,0,0,0,0,0,18000,0,1,53,0,6.6,12572,8.89,0,257.51,12,14,0,0,1,TRUE,"High School","High School","West","White/Other",16,1
"406",406,1636,15,1,0,0,0,57.42,0,0,0,1,0,0,0,0,22500,0,1,55,0,6.6,12572,8.89,0,257.51,5,3,0,0,1,FALSE,"College Grad","High School","West","White/Other",15,1
"407",407,1641,13,1,0,1,0,56.53,0,0,0,0,0,0,1,0,31500,0,1,0,0,6.6,12572,8.89,0,257.51,0,8,0,0,1,TRUE,"High School","Some College","West","Black",13,1
"408",408,1642,15,1,0,1,0,59.77,0,0,0,0,0,0,0,0,31500,0,1,0,0,6.6,12572,8.89,0,257.51,0,8,0,0,1,TRUE,"High School","High School","West","Black",15,1
"409",409,1644,16,1,0,0,1,59.77,1,0,0,0,1,0,0,0,18000,0,1,55,0,8.2,10549,7.54,513.86,818.71,7,4,0,1,0,FALSE,"Missing","Missing","South","Hispanic",16,1
"410",410,1645,16,1,0,0,1,61.43,0,0,0,1,0,0,0,0,62000,0,1,55,0,8.2,10549,7.54,513.86,818.71,7,4,0,1,0,FALSE,"College Grad","High School","South","Hispanic",16,1
"411",411,1649,17,1,0,0,1,59.55,0,1,0,0,0,0,0,1,9500,0,1,16,0,8.2,10549,7.54,513.86,818.71,5,12,0,1,0,TRUE,"Voc","College Grad","South","Hispanic",17,1
"412",412,1651,15,1,0,0,1,61.93,1,0,0,0,1,0,0,0,22500,0,1,16,0,8.2,10549,7.54,513.86,818.71,5,12,0,1,0,TRUE,"Missing","Missing","South","Hispanic",15,1
"413",413,1655,17,1,0,0,1,55.35,0,1,0,0,0,0,0,0,9500,0,1,16,0,8.2,10549,7.54,513.86,818.71,5,12,0,1,0,TRUE,"Voc","High School","South","Hispanic",17,1
"414",414,1657,14,1,1,0,0,57.14,0,1,0,0,0,0,1,0,31500,0,1,15,0,8.2,10549,7.54,513.86,818.71,10,2,0,1,0,FALSE,"Voc","Some College","South","White/Other",14,1
"415",415,1658,16,1,1,0,0,58.35,0,0,0,1,0,0,1,0,18000,0,1,15,0,8.2,10549,7.54,513.86,818.71,10,2,0,1,0,FALSE,"College Grad","Some College","South","White/Other",16,1
"416",416,1659,14,1,1,0,1,57.72,0,0,0,1,0,0,1,0,22500,0,1,15,0,8.2,10549,7.54,513.86,818.71,10,2,0,1,0,FALSE,"College Grad","Some College","South","Hispanic",14,1
"417",417,1660,16,1,1,0,1,60.73,0,0,0,0,0,0,0,0,14000,0,1,15,0,8.2,10549,7.54,513.86,818.71,10,2,0,1,0,FALSE,"High School","High School","South","Hispanic",16,1
"418",418,1662,14,1,1,0,1,58.71,0,0,0,1,0,0,1,0,31500,0,1,15,0,8.2,10549,7.54,513.86,818.71,10,2,0,1,0,FALSE,"College Grad","Some College","South","Hispanic",14,1
"419",419,1664,16,1,1,0,1,64.13,0,0,0,1,0,0,1,0,31500,0,1,15,0,8.2,10549,7.54,513.86,818.71,10,2,0,1,0,FALSE,"College Grad","Some College","South","Hispanic",16,1
"420",420,1666,16,1,1,0,1,57.85,0,0,0,1,0,0,0,1,62000,0,1,15,0,8.2,10549,7.54,513.86,818.71,10,2,0,1,0,FALSE,"College Grad","College Grad","South","Hispanic",16,1
"421",421,1668,16,1,1,0,1,55.53,0,1,0,0,0,1,0,0,14000,0,1,15,0,8.2,10549,7.54,513.86,818.71,10,2,0,1,0,FALSE,"Voc","Voc","South","Hispanic",16,1
"422",422,1671,16,1,1,0,1,62.93,0,0,0,1,0,0,1,0,18000,0,0,8,0,8.2,10549,7.54,513.86,818.71,2,2,0,1,0,FALSE,"College Grad","Some College","South","Hispanic",16,1
"423",423,1674,12,1,1,0,1,55.45,0,1,0,0,0,0,0,0,14000,0,1,8,0,8.2,10549,7.54,513.86,818.71,2,2,0,1,0,FALSE,"Voc","High School","South","Hispanic",12,1
"424",424,1675,14,1,1,0,1,56.4,1,0,0,0,0,0,0,1,14000,0,0,8,0,8.2,10549,7.54,513.86,818.71,2,2,0,1,0,FALSE,"Missing","College Grad","South","Hispanic",14,1
"425",425,1676,17,1,1,0,1,55.45,0,0,0,0,0,0,0,0,14000,0,0,8,0,8.2,10549,7.54,513.86,818.71,2,2,0,1,0,FALSE,"High School","High School","South","Hispanic",17,1
"426",426,1680,14,1,0,0,0,59.71,0,0,0,1,0,0,0,1,31500,0,1,26,0,8.2,10549,7.54,513.86,818.71,10,8,0,1,0,FALSE,"College Grad","College Grad","South","White/Other",14,1
"427",427,1684,16,1,1,0,1,61.12,0,0,1,0,0,0,1,0,18000,0,1,26,0,8.2,10549,7.54,513.86,818.71,10,8,0,1,0,FALSE,"Some College","Some College","South","Hispanic",16,1
"428",428,1686,14,1,0,0,1,56.03,0,0,0,0,0,0,0,0,22500,0,0,26,0,8.2,10549,7.54,513.86,818.71,10,8,0,1,0,FALSE,"High School","High School","South","Hispanic",14,1
"429",429,1688,14,1,1,0,1,61.12,1,0,0,0,0,0,0,1,22500,0,1,26,0,8.2,10549,7.54,513.86,818.71,10,8,0,1,0,FALSE,"Missing","College Grad","South","Hispanic",14,1
"430",430,1689,16,1,1,0,1,55.87,0,0,0,0,0,0,0,1,22500,0,1,26,0,8.2,10549,7.54,513.86,818.71,10,8,0,1,0,FALSE,"High School","College Grad","South","Hispanic",16,1
"431",431,1690,13,0,1,0,0,58.64,1,0,0,0,0,0,0,0,9500,0,0,57,1,5.6,11599,8.09,600.46,889.15,10,4,0,0,0,FALSE,"Missing","High School","East","White/Other",13,0
"432",432,1692,13,0,1,0,0,56.07,0,0,1,0,0,0,1,0,22500,0,1,86,0,7.2,13301,8.85,408.78,849.88,10,4,0,0,0,FALSE,"Some College","Some College","East","White/Other",13,0
"433",433,1694,13,0,0,0,0,64.74,0,0,0,1,0,0,0,0,22500,0,1,94,1,5.9,11599,8.09,600.46,889.15,5,30,0,0,0,TRUE,"College Grad","High School","East","White/Other",13,0
"434",434,1695,14,0,1,1,0,61.18,0,0,1,0,0,0,0,1,31500,0,1,94,1,5.9,11599,8.09,600.46,889.15,5,30,0,0,0,TRUE,"Some College","College Grad","East","Black",14,0
"435",435,1696,15,0,0,0,0,59.85,0,0,0,0,0,0,0,0,22500,0,1,85,0,7.2,13301,8.85,408.78,849.88,5,1,0,0,0,FALSE,"High School","High School","East","White/Other",15,0
"436",436,1697,17,0,1,0,0,58.77,0,0,0,1,0,0,0,0,31500,0,1,85,0,7.2,13301,8.85,408.78,849.88,5,1,0,0,0,FALSE,"College Grad","High School","East","White/Other",17,0
"437",437,1699,15,0,0,0,0,61.52,0,0,0,0,0,0,0,0,22500,0,1,85,0,7.2,13301,8.85,408.78,849.88,5,1,0,0,0,FALSE,"High School","High School","East","White/Other",15,0
"438",438,1701,16,0,1,0,0,57.71,0,0,0,0,0,0,1,0,18000,0,1,85,0,7.2,13301,8.85,408.78,849.88,5,1,0,0,0,FALSE,"High School","Some College","East","White/Other",16,0
"439",439,1702,16,0,1,0,0,59.36,0,0,0,1,0,0,0,1,62000,0,1,85,0,7.2,13301,8.85,408.78,849.88,5,1,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",16,0
"440",440,1703,16,0,1,0,0,58.46,0,0,0,1,0,0,0,0,0,1,1,98,0,7.7,10612,7.04,570.44,903,5,5,0,0,0,FALSE,"College Grad","High School","East","White/Other",16,0
"441",441,1705,14,0,0,0,0,59.56,0,0,0,1,0,0,0,0,31500,0,1,98,0,7.7,10612,7.04,570.44,903,5,5,0,0,0,FALSE,"College Grad","High School","East","White/Other",14,0
"442",442,1706,16,0,1,0,0,57.1,0,0,0,1,0,0,0,1,0,1,1,98,0,7.7,10612,7.04,570.44,903,5,5,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",16,0
"443",443,1707,13,0,0,0,0,58.46,0,0,0,1,0,0,0,1,22500,0,1,98,0,7.7,10612,7.04,570.44,903,5,5,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",13,0
"444",444,1708,16,0,1,0,0,55.7,0,0,0,0,0,0,0,0,14000,0,0,98,0,7.7,10612,7.04,570.44,903,5,5,0,0,0,FALSE,"High School","High School","East","White/Other",16,0
"445",445,1709,15,0,0,0,0,60.81,0,0,0,0,0,0,0,0,3500,0,1,98,0,7.7,10612,7.04,570.44,903,5,5,0,0,0,FALSE,"High School","High School","East","White/Other",15,0
"446",446,1710,17,0,1,0,0,61.42,0,0,0,1,0,0,0,0,0,1,1,96,0,5.4,13301,8.85,408.78,849.88,3,9,0,0,0,TRUE,"College Grad","High School","East","White/Other",17,0
"447",447,1711,15,0,0,0,0,59.69,0,0,0,0,0,0,0,0,22500,0,1,85,1,5.1,13301,8.85,408.78,849.88,30,5,0,0,0,FALSE,"High School","High School","East","White/Other",15,0
"448",448,1712,16,0,0,0,0,60.33,0,0,0,0,0,0,0,0,14000,0,1,85,1,5.1,13301,8.85,408.78,849.88,30,5,0,0,0,FALSE,"High School","High School","East","White/Other",16,0
"449",449,1713,16,0,1,0,0,68.58,0,0,0,1,0,0,0,1,62000,0,1,85,1,5.1,13301,8.85,408.78,849.88,30,5,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",16,0
"450",450,1714,16,0,0,0,0,58.66,0,0,0,1,0,0,1,0,31500,0,1,85,1,5.1,13301,8.85,408.78,849.88,30,5,0,0,0,FALSE,"College Grad","Some College","East","White/Other",16,0
"451",451,1715,14,0,0,0,0,58.14,0,0,1,0,0,0,0,0,9500,0,1,85,1,5.1,13301,8.85,408.78,849.88,30,5,0,0,0,FALSE,"Some College","High School","East","White/Other",14,0
"452",452,1716,16,0,1,0,0,58.95,0,0,0,0,0,0,0,0,3500,0,1,85,1,5.1,13301,8.85,408.78,849.88,30,5,0,0,0,FALSE,"High School","High School","East","White/Other",16,0
"453",453,1718,16,0,1,0,0,63.33,0,0,0,1,0,0,0,1,0,1,1,65,1,5.4,13301,8.85,408.78,849.88,6,2,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",16,0
"454",454,1721,15,0,1,0,0,68.12,0,0,0,1,0,0,0,1,62000,0,1,99,0,6.2,11599,8.09,600.46,889.15,10,6,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",15,0
"455",455,1722,17,0,0,0,0,70.1,0,0,0,1,0,0,0,0,62000,0,1,99,0,6.2,11599,8.09,600.46,889.15,10,6,0,0,0,FALSE,"College Grad","High School","East","White/Other",17,0
"456",456,1723,17,0,1,0,0,69.98,1,0,0,0,0,0,1,0,9500,0,1,99,0,6.2,11599,8.09,600.46,889.15,10,6,0,0,0,FALSE,"Missing","Some College","East","White/Other",17,0
"457",457,1725,13,0,1,0,0,55.32,0,0,0,0,0,0,0,0,9500,0,1,100,0,7.2,10612,7.04,570.44,903,30,1,0,0,0,FALSE,"High School","High School","East","White/Other",13,0
"458",458,1726,16,0,1,0,0,62,0,0,0,0,0,0,0,0,14000,0,1,100,0,7.2,10612,7.04,570.44,903,30,1,0,0,0,FALSE,"High School","High School","East","White/Other",16,0
"459",459,1728,16,0,1,0,0,56.44,0,0,1,0,0,0,0,0,22500,0,1,96,0,5.4,13301,8.85,408.78,849.88,4,1,0,0,0,FALSE,"Some College","High School","East","White/Other",16,0
"460",460,1729,15,0,1,0,0,60.05,0,0,0,1,0,0,0,1,62000,0,1,96,0,5.4,13301,8.85,408.78,849.88,4,1,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",15,0
"461",461,1730,15,0,1,0,0,65.87,0,0,0,1,0,0,0,0,62000,0,1,96,0,5.4,13301,8.85,408.78,849.88,4,1,0,0,0,FALSE,"College Grad","High School","East","White/Other",15,0
"462",462,1731,16,0,0,0,0,57.74,0,0,0,0,0,1,0,0,31500,0,1,99,0,5.5,11599,8.09,600.46,889.15,15,15,0,0,0,FALSE,"High School","Voc","East","White/Other",16,0
"463",463,1732,16,0,0,0,0,59.73,0,0,0,0,0,0,0,0,14000,0,1,99,0,5.5,11599,8.09,600.46,889.15,15,15,0,0,0,FALSE,"High School","High School","East","White/Other",16,0
"464",464,1733,16,0,1,0,0,57.06,0,0,0,1,0,0,0,0,31500,0,1,99,0,5.5,11599,8.09,600.46,889.15,15,15,0,0,0,FALSE,"College Grad","High School","East","White/Other",16,0
"465",465,1734,15,0,1,0,0,58.02,0,0,0,0,0,0,1,0,18000,0,1,99,0,5.5,11599,8.09,600.46,889.15,15,15,0,0,0,FALSE,"High School","Some College","East","White/Other",15,0
"466",466,1737,16,0,1,0,0,63.32,1,0,0,0,0,0,0,0,9500,0,1,99,0,6.5,11599,8.09,600.46,889.15,9,15,0,0,0,TRUE,"Missing","High School","East","White/Other",16,0
"467",467,1741,16,0,0,0,0,56.42,0,1,0,0,0,0,0,0,22500,0,1,93,0,7.7,10612,7.04,570.44,903,5,20,0,0,0,TRUE,"Voc","High School","East","White/Other",16,0
"468",468,1742,17,0,1,0,0,62.27,0,0,1,0,0,0,0,1,62000,0,1,93,0,7.7,10612,7.04,570.44,903,5,20,0,0,0,TRUE,"Some College","College Grad","East","White/Other",17,0
"469",469,1745,17,0,1,0,0,65.13,0,0,0,1,0,0,0,0,0,1,1,98,0,4.4,11599,8.09,600.46,889.15,10,5,0,0,0,FALSE,"College Grad","High School","East","White/Other",17,0
"470",470,1746,16,0,1,0,0,57.55,0,1,0,0,0,0,0,0,31500,0,1,98,0,4.4,11599,8.09,600.46,889.15,10,5,0,0,0,FALSE,"Voc","High School","East","White/Other",16,0
"471",471,1747,12,0,0,0,0,57.5,0,0,0,0,0,0,0,1,31500,0,1,98,0,4.4,11599,8.09,600.46,889.15,10,5,0,0,0,FALSE,"High School","College Grad","East","White/Other",12,0
"472",472,1748,16,0,0,0,0,65.31,0,0,0,1,0,0,0,0,18000,0,1,96,0,7.5,11599,8.09,600.46,889.15,20,5,0,0,0,FALSE,"College Grad","High School","East","White/Other",16,0
"473",473,1750,16,0,0,0,0,62.66,1,0,0,0,0,0,0,0,22500,0,0,96,0,7.5,11599,8.09,600.46,889.15,20,5,0,0,0,FALSE,"Missing","High School","East","White/Other",16,0
"474",474,1751,16,0,1,0,0,63.26,0,0,0,0,0,0,0,0,14000,0,1,99,0,5.9,8987,7.09,715.94,1385.68,1,12,0,0,0,TRUE,"High School","High School","East","White/Other",16,0
"475",475,1752,15,0,0,0,0,56.53,1,0,0,0,1,0,0,0,9500,0,1,99,0,5.9,8987,7.09,715.94,1385.68,1,12,0,0,0,TRUE,"Missing","Missing","East","White/Other",15,0
"476",476,1755,13,0,0,0,0,56.47,0,0,0,1,0,0,1,0,31500,0,1,92,0,5.3,11599,8.09,600.46,889.15,16,1,0,0,0,FALSE,"College Grad","Some College","East","White/Other",13,0
"477",477,1757,16,0,0,0,0,64.69,0,0,0,0,0,0,0,0,22500,0,1,92,0,5.3,11599,8.09,600.46,889.15,16,1,0,0,0,FALSE,"High School","High School","East","White/Other",16,0
"478",478,1758,16,0,1,0,0,62.35,0,0,0,1,0,0,0,1,18000,0,1,92,0,5.3,11599,8.09,600.46,889.15,16,1,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",16,0
"479",479,1761,12,0,0,0,0,65.46,0,1,0,0,0,0,0,0,14000,0,0,99,0,6.1,8858,7.69,647.81,1112.01,25,25,0,0,0,FALSE,"Voc","High School","East","White/Other",12,0
"480",480,1762,16,0,0,0,0,66.95,0,0,0,1,0,0,0,1,62000,0,1,99,0,6.1,8858,7.69,647.81,1112.01,25,25,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",16,0
"481",481,1763,16,0,1,0,0,55.64,0,0,0,0,0,0,0,0,31500,0,1,99,0,6.1,8858,7.69,647.81,1112.01,25,25,0,0,0,FALSE,"High School","High School","East","White/Other",16,0
"482",482,1765,16,0,0,0,0,60.08,0,0,1,0,1,0,0,0,62000,0,1,95,0,6.5,11599,8.09,600.46,889.15,30,35,0,0,0,TRUE,"Some College","Missing","East","White/Other",16,0
"483",483,1767,16,0,1,0,0,64.6,0,0,0,0,0,0,1,0,14000,0,1,95,0,6.5,11599,8.09,600.46,889.15,30,35,0,0,0,TRUE,"High School","Some College","East","White/Other",16,0
"484",484,1768,16,0,1,0,0,61.73,0,0,0,1,0,0,1,0,14000,0,1,95,0,6.5,11599,8.09,600.46,889.15,30,35,0,0,0,TRUE,"College Grad","Some College","East","White/Other",16,0
"485",485,1770,13,0,0,0,0,63.05,1,0,0,0,0,0,0,0,3500,0,0,97,0,5.4,11599,8.09,600.46,889.15,3,19,0,0,0,TRUE,"Missing","High School","East","White/Other",13,0
"486",486,1771,13,0,1,0,0,63.1,1,0,0,0,0,0,0,0,3500,0,0,99,0,13.5,8858,7.69,647.81,1112.01,45,50,0,0,0,TRUE,"Missing","High School","East","White/Other",13,0
"487",487,1772,15,0,1,0,0,62.84,0,0,0,0,0,0,0,0,14000,0,1,99,0,13.5,8858,7.69,647.81,1112.01,45,50,0,0,0,TRUE,"High School","High School","East","White/Other",15,0
"488",488,1773,16,0,0,0,0,64.48,0,0,0,0,0,0,0,0,9500,0,0,96,0,8.7,13301,8.85,408.78,849.88,5,15,0,0,0,TRUE,"High School","High School","East","White/Other",16,0
"489",489,1776,12,0,0,0,0,60.94,0,0,0,0,0,0,0,0,18000,0,1,96,0,6.5,11599,8.09,600.46,889.15,6,8,0,0,0,TRUE,"High School","High School","East","White/Other",12,0
"490",490,1777,12,0,1,0,0,58.09,0,0,0,0,0,0,0,1,14000,0,1,96,0,6.5,11599,8.09,600.46,889.15,6,8,0,0,0,TRUE,"High School","College Grad","East","White/Other",12,0
"491",491,1779,16,0,1,0,0,57.13,0,0,0,1,0,1,0,0,31500,0,1,100,0,7.8,8858,7.69,647.81,1112.01,90,18,0,0,0,FALSE,"College Grad","Voc","East","White/Other",16,0
"492",492,1780,12,0,1,0,0,64.98,0,0,0,0,0,0,0,0,14000,0,1,100,0,7.8,8858,7.69,647.81,1112.01,90,18,0,0,0,FALSE,"High School","High School","East","White/Other",12,0
"493",493,1781,14,0,0,0,0,65.35,0,0,1,0,0,0,0,0,9500,0,0,100,0,7.8,8858,7.69,647.81,1112.01,90,18,0,0,0,FALSE,"Some College","High School","East","White/Other",14,0
"494",494,1782,16,0,1,0,0,61.73,0,0,0,0,0,0,0,0,31500,0,1,100,0,7.8,8858,7.69,647.81,1112.01,90,18,0,0,0,FALSE,"High School","High School","East","White/Other",16,0
"495",495,1783,12,0,0,0,0,56.35,0,1,0,0,0,0,0,0,18000,0,1,100,0,7.8,8858,7.69,647.81,1112.01,90,18,0,0,0,FALSE,"Voc","High School","East","White/Other",12,0
"496",496,1785,16,0,1,0,0,60.75,0,0,0,1,0,0,0,1,22500,0,1,100,0,7.8,8858,7.69,647.81,1112.01,90,18,0,0,0,FALSE,"College Grad","College Grad","East","White/Other",16,0
"497",497,1787,13,0,0,0,0,63.41,0,0,1,0,0,1,0,0,22500,0,1,97,0,5.4,13301,8.85,408.78,849.88,5,8,0,0,0,TRUE,"Some College","Voc","East","White/Other",13,0
"498",498,1788,16,0,0,0,0,66.17,0,0,0,1,0,0,0,1,62000,0,1,97,0,5.4,13301,8.85,408.78,849.88,5,8,0,0,0,TRUE,"College Grad","College Grad","East","White/Other",16,0
"499",499,1789,16,0,0,0,0,66.95,0,0,0,1,0,0,0,0,22500,0,1,97,0,5.4,13301,8.85,408.78,849.88,5,8,0,0,0,TRUE,"College Grad","High School","East","White/Other",16,0
